"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.1012,0.1016,0.1012,0.1012,469033600
1980-12-15,0.0964,0.0964,0.0959,0.0959,175884800
1980-12-16,0.0893,0.0893,0.0889,0.0889,105728000
1980-12-17,0.0910,0.0915,0.0910,0.0910,86441600
1980-12-18,0.0937,0.0941,0.0937,0.0937,73449600
1980-12-19,0.0994,0.0999,0.0994,0.0994,48630400
1980-12-22,0.1043,0.1047,0.1043,0.1043,37363200
1980-12-23,0.1087,0.1091,0.1087,0.1087,46950400
1980-12-24,0.1144,0.1148,0.1144,0.1144,48003200
1980-12-26,0.1249,0.1253,0.1249,0.1249,55574400
1980-12-29,0.1267,0.1271,0.1267,0.1267,93161600
1980-12-30,0.1240,0.1240,0.1236,0.1236,68880000
1980-12-31,0.1205,0.1205,0.1201,0.1201,35750400
1981-01-02,0.1214,0.1223,0.1214,0.1214,21660800
1981-01-05,0.1192,0.1192,0.1188,0.1188,35728000
1981-01-06,0.1139,0.1139,0.1135,0.1135,45158400
1981-01-07,0.1091,0.1091,0.1087,0.1087,55686400
1981-01-08,0.1069,0.1069,0.1065,0.1065,39827200
1981-01-09,0.1122,0.1126,0.1122,0.1122,21504000
1981-01-12,0.1122,0.1122,0.1113,0.1113,23699200
1981-01-13,0.1078,0.1078,0.1073,0.1073,23049600
1981-01-14,0.1078,0.1082,0.1078,0.1078,14291200
1981-01-15,0.1100,0.1108,0.1100,0.1100,14067200
1981-01-16,0.1095,0.1095,0.1091,0.1091,13395200
1981-01-19,0.1157,0.1161,0.1157,0.1157,41574400
1981-01-20,0.1126,0.1126,0.1122,0.1122,30083200
1981-01-21,0.1144,0.1152,0.1144,0.1144,15904000
1981-01-22,0.1157,0.1166,0.1157,0.1157,35548800
1981-01-23,0.1157,0.1161,0.1152,0.1152,11222400
1981-01-26,0.1139,0.1139,0.1135,0.1135,24640000
1981-01-27,0.1135,0.1135,0.1126,0.1126,23699200
1981-01-28,0.1095,0.1095,0.1091,0.1091,28156800
1981-01-29,0.1056,0.1056,0.1051,0.1051,43904000
1981-01-30,0.1003,0.1003,0.0994,0.0994,46188800
1981-02-02,0.0941,0.0941,0.0937,0.0937,23766400
1981-02-03,0.0972,0.0977,0.0972,0.0972,19152000
1981-02-04,0.1007,0.1012,0.1007,0.1007,27865600
1981-02-05,0.1007,0.1016,0.1007,0.1007,7929600
1981-02-06,0.1012,0.1016,0.1012,0.1012,13865600
1981-02-09,0.0968,0.0968,0.0959,0.0959,16755200
1981-02-10,0.0959,0.0964,0.0959,0.0959,18345600
1981-02-11,0.0933,0.0933,0.0928,0.0928,13843200
1981-02-12,0.0924,0.0924,0.0920,0.0920,14560000
1981-02-13,0.0906,0.0906,0.0897,0.0897,11155200
1981-02-17,0.0920,0.0924,0.0920,0.0920,12275200
1981-02-18,0.0959,0.0968,0.0959,0.0959,19241600
1981-02-19,0.0906,0.0906,0.0902,0.0902,22310400
1981-02-20,0.0858,0.0858,0.0853,0.0853,24371200
1981-02-23,0.0866,0.0871,0.0866,0.0866,14112000
1981-02-24,0.0845,0.0845,0.0836,0.0836,16979200
1981-02-25,0.0889,0.0893,0.0889,0.0889,19488000
1981-02-26,0.0902,0.0906,0.0902,0.0902,10841600
1981-02-27,0.0933,0.0941,0.0933,0.0933,14761600
1981-03-02,0.0937,0.0941,0.0937,0.0937,11760000
1981-03-03,0.0928,0.0928,0.0924,0.0924,16172800
1981-03-04,0.0920,0.0920,0.0915,0.0915,13708800
1981-03-05,0.0915,0.0915,0.0910,0.0910,5376000
1981-03-06,0.0910,0.0910,0.0902,0.0902,11603200
1981-03-09,0.0836,0.0836,0.0832,0.0832,15321600
1981-03-10,0.0796,0.0796,0.0792,0.0792,28380800
1981-03-11,0.0770,0.0770,0.0761,0.0761,29859200
1981-03-12,0.0792,0.0796,0.0792,0.0792,59248000
1981-03-13,0.0787,0.0787,0.0783,0.0783,231302400
1981-03-16,0.0814,0.0822,0.0814,0.0814,37228800
1981-03-17,0.0853,0.0862,0.0853,0.0853,43747200
1981-03-18,0.0906,0.0915,0.0906,0.0906,36937600
1981-03-19,0.0902,0.0902,0.0897,0.0897,37811200
1981-03-20,0.0906,0.0915,0.0906,0.0906,14604800
1981-03-23,0.0941,0.0950,0.0941,0.0941,22019200
1981-03-24,0.0941,0.0941,0.0937,0.0937,28156800
1981-03-25,0.0928,0.0928,0.0920,0.0920,7056000
1981-03-26,0.0906,0.0906,0.0902,0.0902,12275200
1981-03-27,0.0876,0.0876,0.0871,0.0871,12252800
1981-03-30,0.0871,0.0880,0.0871,0.0871,9900800
1981-03-31,0.0871,0.0871,0.0862,0.0862,15993600
1981-04-01,0.0858,0.0858,0.0853,0.0853,34070400
1981-04-02,0.0928,0.0933,0.0928,0.0928,31404800
1981-04-03,0.0933,0.0937,0.0933,0.0933,16486400
1981-04-06,0.0920,0.0920,0.0915,0.0915,22803200
1981-04-07,0.0910,0.0910,0.0906,0.0906,10684800
1981-04-08,0.0950,0.0959,0.0950,0.0950,21952000
1981-04-09,0.0968,0.0972,0.0968,0.0968,12499200
1981-04-10,0.0981,0.0985,0.0981,0.0981,33465600
1981-04-13,0.0981,0.0985,0.0981,0.0981,16060800
1981-04-14,0.0981,0.0985,0.0981,0.0981,6652800
1981-04-15,0.0937,0.0937,0.0933,0.0933,34048000
1981-04-16,0.0884,0.0884,0.0880,0.0880,23878400
1981-04-20,0.0906,0.0910,0.0906,0.0906,35347200
1981-04-21,0.0968,0.0972,0.0968,0.0968,28537600
1981-04-22,0.1003,0.1007,0.1003,0.1003,18995200
1981-04-23,0.1029,0.1034,0.1029,0.1029,58016000
1981-04-24,0.1029,0.1029,0.1021,0.1021,35056000
1981-04-27,0.1016,0.1016,0.1012,0.1012,38528000
1981-04-28,0.0999,0.0999,0.0994,0.0994,32188800
1981-04-29,0.0985,0.0985,0.0981,0.0981,13641600
1981-04-30,0.0999,0.1007,0.0999,0.0999,12611200
1981-05-01,0.0999,0.1007,0.0999,0.0999,16553600
1981-05-04,0.0999,0.0999,0.0994,0.0994,14448000
